sentence,sentiment,topic,split,source,processed_text
"cô giảng bài dễ hiểu , nói chuyện rất truyền cảm .",positive,lecturer,test,UIT-VSFC,cô giảng_bài dễ hiểu nói_chuyện truyền_cảm
giảng viên dạy luôn đúng giờ .,positive,lecturer,test,UIT-VSFC,giảng_viên dạy luôn đúng giờ
"thầy dạy rất hay , truyền cảm tốt , phong cách giải toán có một không hai , thiếu buổi nào là bù buổi đó .",positive,lecturer,test,UIT-VSFC,thầy dạy truyền_cảm tốt phong_cách giải_toán không hai thiếu buổi nào bù buổi
"bài thầy ghi chi tiết , giảng khá dễ hiểu .",positive,lecturer,test,UIT-VSFC,bài thầy ghi chi_tiết giảng khá dễ hiểu
"tiết học thú vị , giảng viên dạy hay , rất dễ hiểu .",positive,lecturer,test,UIT-VSFC,tiết học thú_vị giảng_viên dạy dễ hiểu
giảng viên giảng dạy tận tâm đưa ra nhiều bài tập cùng ví dụ minh họa .,positive,lecturer,test,UIT-VSFC,giảng_viên giảng_dạy tận_tâm đưa nhiều bài_tập ví_dụ minh họa
tăng số lượng kit thực hành !,negative,training_program,test,UIT-VSFC,tăng số_lượng kit thực_hành
"lớp thực hành quá nhàm chán , sinh viên chỉ lên lớp có lệ .",negative,training_program,test,UIT-VSFC,lớp thực_hành quá nhàm_chán sinh_viên lên lớp_lệ
cô giảng bài giống như việc cô không biết mình giảng gì và cô thường xuyên kêu các bạn về xem lại trong sách .,negative,lecturer,test,UIT-VSFC,cô giảng bài giống cô không biết mình giảng gì cô thường_xuyên kêu xem sách
"cô nhiệt tình , giúp đỡ sinh viên rất nhiều .",positive,lecturer,test,UIT-VSFC,cô nhiệt_tình giúp_đỡ sinh_viên nhiều
thêm giờ sửa bài tập các chương sau .,negative,training_program,test,UIT-VSFC,thêm giờ sửa bài_tập chương
"thầy ít hướng dẫn trong giờ thực hành , chỉ giao bài tập cho sinh viên làm ai hỏi thầy mới chỉ .",negative,lecturer,test,UIT-VSFC,thầy ít hướng_dẫn giờ thực_hành giao bài_tập sinh_viên làm ai hỏi thầy mới
"giảng viên nhiệt tình trong giảng dạy , giảng dạy dễ hiểu , nhiều ví dụ , bài tập để sinh viên thực hành .",positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình giảng_dạy giảng_dạy dễ hiểu nhiều ví_dụ bài_tập sinh_viên thực_hành
"thầy giảng bài rất chi tiết , dễ hiểu .",positive,lecturer,test,UIT-VSFC,thầy giảng bài chi_tiết dễ hiểu
"giảng viên tận tình giảng dạy , quan tâm đến sinh viên .",positive,lecturer,test,UIT-VSFC,giảng_viên tận_tình giảng_dạy quan_tâm sinh_viên
"tích cực trong giảng dạy , vui vẻ , dễ gần .",positive,lecturer,test,UIT-VSFC,tích_cực giảng_dạy vui_vẻ dễ gần
chưa được chuyên sâu về nội dung lắm .,negative,training_program,test,UIT-VSFC,chưa chuyên_sâu nội_dung lắm
cần bổ sung các kiến thức về kiến trúc của dbms .,negative,training_program,test,UIT-VSFC,cần bổ_sung kiến_thức kiến_trúc dbms
vì giữa kỳ do em bỏ lở .,neutral,others,test,UIT-VSFC,giữa kỳ do bỏ lở
"phong cách dạy rất hay , rất dễ hiểu , tận tâm , nhiệt tình .",positive,lecturer,test,UIT-VSFC,phong_cách dạy dễ hiểu tận_tâm nhiệt_tình
"giảng chi tiết , giải bài tập nhiều .",positive,lecturer,test,UIT-VSFC,giảng chi_tiết giải bài_tập nhiều
nhanh nhẹn .,positive,lecturer,test,UIT-VSFC,nhanh_nhẹn
"đôi khi thầy hay trễ bài tập trên moodle , và một điều nữa là cả học kỳ thầy chỉ điểm danh một lần và nghe các bạn nói là thầy lấy điểm quá trình vào hôm đó .",negative,lecturer,test,UIT-VSFC,đôi thầy trễ bài_tập moodle điều nữa cả học_kỳ thầy điểm danh lần nghe nói thầy lấy điểm quá_trình hôm
chúng em học được rất nhiều điều từ thực tế thông qua những câu truyện cô kể .,positive,training_program,test,UIT-VSFC,chúng học nhiều điều thực_tế thông_câu truyện cô kể
trình bày vấn đề một cách chính xác và dễ hiểu .,positive,lecturer,test,UIT-VSFC,trình_bày vấn_đề cách chính_xác dễ hiểu
dạy hơi chán .,negative,lecturer,test,UIT-VSFC,dạy hơi chán
em xin hết .,neutral,others,test,UIT-VSFC,xin hết
"nhiệt tình , dạy hay , dễ hiểu .",positive,lecturer,test,UIT-VSFC,nhiệt_tình dạy dễ hiểu
tránh trường hợp sử dụng phòng wzjwz136 vì phòng này rất nhỏ không đảm bảo để cho việc thực hành .,negative,facility,test,UIT-VSFC,tránh trường_hợp sử_dụng phòng wzjwz136 phòng nhỏ không đảm_bảo thực_hành
cần cung cấp tài liệu nhiều hơn .,negative,training_program,test,UIT-VSFC,cần cung_cấp tài_liệu nhiều hơn
mong cô cải thiện kỹ năng trình bày bảng ạ !,negative,lecturer,test,UIT-VSFC,mong cô cải_thiện kỹ_năng trình_bày bảng ạ
"giảng viên không thực sự nhiệt tình với công việc giảng dạy của mình , thường xuyên vắng tiết không thông báo .",negative,lecturer,test,UIT-VSFC,giảng_viên không thực_sự nhiệt_tình công_giảng_dạy mình thường_xuyên vắng_tiết không thông_báo
"cô giảng khá kỹ , nhưng hơi chậm .",negative,lecturer,test,UIT-VSFC,cô giảng khá kỹ_hơi chậm
giảng viên dạy hay và sôi nổi .,positive,lecturer,test,UIT-VSFC,giảng_viên dạy sôi_nổi
dễ hiểu xinh gái .,positive,lecturer,test,UIT-VSFC,dễ hiểu xinh_gái
"khi kiểm tra trên lớp không thông báo trước , sinh viên chưa chuẩn bị bài kỹ .",negative,training_program,test,UIT-VSFC,kiểm_tra lớp không thông_báo sinh_viên chưa chuẩn bài kỹ
giảng viên ôn tập tập trung nhiều vào một chủ đề mà qua nhiều chủ đề khác .,negative,lecturer,test,UIT-VSFC,giảng_viên ôn_tập tập_trung nhiều chủ_đề nhiều chủ_đề khác
sinh viên hoang mang không biết mình đang học những gì .,negative,training_program,test,UIT-VSFC,sinh_viên hoang_mang không biết mình học gì
khá tận tâm và quân tâm đến sinh viên .,positive,lecturer,test,UIT-VSFC,khá tận_tâm quân_tâm sinh_viên
"cần có phòng học chất lượng hơn , yên tĩnh để sinh viên có thể tiếp thu tốt hơn .",negative,training_program,test,UIT-VSFC,cần phòng học chất_lượng hơn yên_tĩnh sinh_viên_thể tiếp_thu tốt hơn
tận tình trong giảng dạy .,positive,lecturer,test,UIT-VSFC,tận_tình giảng_dạy
"nên đưa ra một số bài tập giải mẫu , nêu lên một số lỗi thường gặp .",negative,lecturer,test,UIT-VSFC,đưa số bài_tập giải_mẫu nêu lên số lỗi thường gặp
thực hành vui .,positive,training_program,test,UIT-VSFC,thực_hành vui
"giảng viên rất nhiệt tình trong việc giảng dạy , luôn dành thời gian trả lời những câu hỏi của sinh viên .",positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình giảng_dạy luôn dành thời_gian trả_lời câu hỏi sinh_viên
giọng đọc tương đối giống bản ngữ và phát âm tiếng anh khá chuẩn .,positive,lecturer,test,UIT-VSFC,giọng đọc tương_đối giống bản_ngữ phát_âm tiếng anh khá chuẩn
sử dụng thời gian ở lớp hiệu quả .,positive,facility,test,UIT-VSFC,sử_dụng thời_gian lớp hiệu_quả
giảng dạy theo phương pháp hoạt động nhóm .,neutral,lecturer,test,UIT-VSFC,giảng_dạy phương_pháp hoạt_động nhóm
"kéo dài thời gian gây ra cảm xúc "" ức chế "" cảm xúc này dẫn đến ảnh hưởng việc tiếp thu bài ngay sau đó không hiệu quả và còn phản tác dụng .",negative,lecturer,test,UIT-VSFC,kéo_dài thời_gian gây cảm_xúc ức_chế cảm_xúc dẫn ảnh_hưởng tiếp_thu bài ngay không hiệu_quả còn phản_tác_dụng
"quan trọng nhất là việc giảng rất hay quên mà không chịu note lại , trong khi đó sinh viên đã nhắc nhiều lần , và hay nhớ lung tung .",negative,lecturer,test,UIT-VSFC,quan_trọng nhất giảng_quên không chịu note sinh_viên nhắc nhiều lần nhớ lung_tung
được đăng trên website môn học .,neutral,lecturer,test,UIT-VSFC,đăng website môn_học
lên lớp giảng giải nhiệt tình .,positive,lecturer,test,UIT-VSFC,lên lớp giảng_giải nhiệt_tình
"mong thầy giảng bài cỡ 15 - 30 phút rồi nghỉ 5 phút để trò chuyện với sinh viên về cuộc sống , kinh nghiệm học tập thời sinh viên của thầy , vdotv .",negative,lecturer,test,UIT-VSFC,mong thầy giảng bài cỡ 15 30 phút rồi nghỉ 5 phút trò_chuyện sinh_viên cuộc_sống kinh_nghiệm học_tập thời sinh_viên thầy vdotv
cô rất quan tâm sinh viên .,positive,lecturer,test,UIT-VSFC,cô quan_tâm sinh_viên
"có trả lời thắc mắc dễ hiểu , ngắn ngọn .",positive,lecturer,test,UIT-VSFC,trả_lời thắc_mắc dễ hiểu ngắn ngọn
"môn học không khả dụng , tốn thời gian sinh viên .",negative,training_program,test,UIT-VSFC,môn_học không khả_dụng tốn thời_gian sinh_viên
thầy dễ chịu dễ hiểu .,positive,lecturer,test,UIT-VSFC,thầy dễ_chịu dễ hiểu
thầy hướng dẫn sinh viên cách tư duy để giải quyết vấn đề .,positive,lecturer,test,UIT-VSFC,thầy hướng_dẫn sinh_viên cách tư_duy giải_quyết vấn_đề
"kiểm tra thì cực kỳ vô lý , phải làm những bài viết loàng ngoằng chẳng khác gì học sinh cấp 3 .",negative,training_program,test,UIT-VSFC,kiểm_tra cực_kỳ vô_lý phải làm bài viết loàng ngoằng chẳng khác_gì học_sinh cấp 3
sinh viên không hiểu lắm .,negative,others,test,UIT-VSFC,sinh_viên không hiểu lắm
"thầy không nhiệt tình trong cách dạy , cũng như hướng dẫn sinh viên thực hành .",negative,lecturer,test,UIT-VSFC,thầy không nhiệt_tình cách dạy hướng_dẫn sinh_viên thực_hành
"học để giao tiếp nên chú trọng giao tiếp hơn , môn quá tập trung vào ngữ pháp và các bài nghe với level khó , trong khi tốc độ giao tiếp bình thường chậm hơn nhiều , thậm chí mình giao tiếp với người ngoại quốc còn thấy dễ nghe và dễ hiểu hơn nghe các file nghe trong bài học , điều này hoàn toàn không giúp sinh viên khá hơn .",negative,training_program,test,UIT-VSFC,học giao_tiếp chú_trọng giao_tiếp hơn môn quá tập_trung ngữ_pháp bài nghe level khó tốc_độ giao_tiếp bình_thường chậm hơn nhiều thậm_chí mình giao_tiếp người ngoại_quốc còn thấy dễ nghe dễ hiểu hơn nghe file nghe bài_học điều hoàn_toàn không giúp sinh_viên khá hơn
giảng viên nhiệt tình và tận tâm .,positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình tận_tâm
"thầy giảng bài rất hay , là người rất tâm huyết và nhiệt tình .",positive,lecturer,test,UIT-VSFC,thầy giảng bài người tâm_huyết nhiệt_tình
"thầy tuy rất dễ , nhưng việc không điểm danh và tạo deadline cho các buổi thực hành sẽ gây ra ảnh hưởng tiêu cực nhiều hơn tích cực .",negative,lecturer,test,UIT-VSFC,thầy tuy dễ không điểm_danh tạo deadline buổi thực_hành gây ảnh_hưởng tiêu_cực nhiều hơn tích_cực
"cách dạy sinh động , không máy móc .",positive,lecturer,test,UIT-VSFC,cách dạy sinh_động không máy_móc
các bài tập thực hành và hoạt động giảng dạy của thầy đáp ứng đủ yêu cầu cơ bản của môn học .,positive,training_program,test,UIT-VSFC,bài_tập thực_hành hoạt_động giảng_dạy thầy đáp_ứng đủ yêu_cầu cơ_bản môn_học
"giảng viên nhiệt tình , có kỹ năng truyền đạt tốt .",positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình kỹ_năng truyền_đạt tốt
em không liên hệ được mối quan hệ giữa chương trình học theo sách và đề thi .,negative,training_program,test,UIT-VSFC,không liên_hệ mối quan_hệ giữa chương_trình học sách đề_thi
giảng viên chưa đi sâu vào vấn đề bài học .,positive,lecturer,test,UIT-VSFC,giảng_viên chưa đi_sâu vấn_đề bài_học
"giảng viên dạy dễ hiểu , có định hướng .",positive,lecturer,test,UIT-VSFC,giảng_viên dạy dễ hiểu định_hướng
thầy dễ tính vui vẻ .,positive,lecturer,test,UIT-VSFC,thầy dễ_tính vui_vẻ
hầu như không có điều không hài lòng .,neutral,others,test,UIT-VSFC,hầu không điều không hài_lòng
cách truyền đạt hơi khó hiểu .,negative,lecturer,test,UIT-VSFC,cách truyền_đạt hơi khó hiểu
"cô dạy rất nhiệt tình , tận tâm , vui vẻ .",positive,lecturer,test,UIT-VSFC,cô dạy nhiệt_tình tận_tâm vui_vẻ
"thầy vui tính , dạy tốt .",positive,lecturer,test,UIT-VSFC,thầy vui tính dạy tốt
sự tận tình .,neutral,lecturer,test,UIT-VSFC,sự tận_tình
cần làm nhiều bài tập trên lớp .,negative,training_program,test,UIT-VSFC,cần làm nhiều bài_tập lớp
"qua hai học kỳ được học các môn học do thầy wzjwz110 giảng dạy , thầy dạy rất được .",positive,lecturer,test,UIT-VSFC,hai học kỳ_học môn_học do thầy wzjwz110 giảng_dạy thầy dạy
nên cho thêm bài tập nhóm để học sinh thảo luận .,negative,training_program,test,UIT-VSFC,thêm bài_tập nhóm học_sinh thảo_luận
"cô dạy rất hay , nhiều mini game hấp dẫn .",positive,lecturer,test,UIT-VSFC,cô dạy nhiều mini game hấp_dẫn
hài lòng với chất lượng giảng dạy của giảng viên này .,positive,lecturer,test,UIT-VSFC,hài_lòng chất_lượng giảng_dạy giảng_viên
"cô dạy rất nhiệt tình , tận tâm , cách dạy dễ hiểu .",positive,lecturer,test,UIT-VSFC,cô dạy nhiệt_tình tận_tâm cách dạy dễ hiểu
"cần cải tiến trang thiết bị phòng học , wifi .",negative,facility,test,UIT-VSFC,cần cải_tiến trang_thiết phòng học wifi
"thầy giảng mà bảo tự mò trên mạng rồi nói lại cho thầy , cách giảng dạy khá mơ hồ khó hiểu , không chi tiết .",negative,lecturer,test,UIT-VSFC,thầy giảng bảo tự mò_mạng rồi nói thầy cách giảng_dạy khá mơ_hồ khó hiểu không chi_tiết
"cho nhiều bài tập , cách hướng dẫn , tài liệu kỹ hơn .",negative,training_program,test,UIT-VSFC,nhiều bài_tập cách hướng_dẫn tài_liệu kỹ hơn
"thầy làm việc không hề có kế hoạch , cho sinh viên quá nhiều bài tập có khi lên tới 36 bài trên một tuần với 34 sinh viên rồi lại bảo "" các em còn học mấy môn khác nữa mà "" .",negative,lecturer,test,UIT-VSFC,thầy làm không hề kế_hoạch sinh_viên quá nhiều bài_tập lên tới 36 bài tuần 34 sinh_viên rồi bảo còn học mấy môn khác nữa
bọn em không thể nghe rõ .,negative,others,test,UIT-VSFC,bọn không_thể nghe rõ
giáo viên cần tích cực hơn nữa trong giảng dạy trên giờ thực hành .,negative,lecturer,test,UIT-VSFC,giáo_viên cần tích_cực hơn_nữa giảng_dạy giờ thực_hành
""" ờ ờ a a "" toàn nói được mấy từ tiếng anh cơ bản , từ nào khó khó cái lướt qua hay nuốt âm mất tiêu , đã vậy sinh viên hỏi thì trả lời bằng tiếng việt trong khi bắt sinh viên phải hỏi bằng tiếng anh ?",negative,lecturer,test,UIT-VSFC,ờ ờ a_a toàn nói mấy tiếng anh cơ_bản nào khó khó cái lướt nuốt_âm mất tiêu vậy sinh_viên hỏi trả_lời bằng tiếng việt bắt sinh_viên phải hỏi bằng tiếng anh
vấn đề không thể nắm bắt được hết .,negative,training_program,test,UIT-VSFC,vấn_đề không_thể nắm_bắt hết
tổ chức nhiều hoạt động nhóm .,positive,training_program,test,UIT-VSFC,tổ_chức nhiều hoạt_động nhóm
không làm bài thuyết trình nhưng vẫn được nộp báo cáo .,neutral,lecturer,test,UIT-VSFC,không làm bài thuyết_trình nộp báo_cáo
có một số buổi nghỉ .,negative,lecturer,test,UIT-VSFC,số buổi nghỉ
"nội dung học không phù hợp , không cung cấp hiệu quả kiến thức cần có , quá nhiều lý thuyết , lý thuyết quá rườm rà .",negative,training_program,test,UIT-VSFC,nội_dung học không phù_hợp không cung_cấp hiệu_quả kiến_thức cần quá nhiều lý_thuyết lý_thuyết quá rườm_rà
chỉ gặp được thầy đúng một lần trong suốt học kỳ .,negative,lecturer,test,UIT-VSFC,gặp thầy đúng lần suốt học kỳ
"giáo viên tận tâm , truyền đạt kiến thức dễ hiểu .",positive,lecturer,test,UIT-VSFC,giáo_viên tận_tâm truyền_đạt kiến_thức dễ hiểu
đây là một môn học khó nhưng mà chất lượng slide bài giảng khá kém .,negative,lecturer,test,UIT-VSFC,môn_học khó chất_lượng slide bài giảng khá kém
thầy dạy đủ nội dung bài học .,neutral,lecturer,test,UIT-VSFC,thầy dạy đủ nội_dung bài_học
cách dạy tốt .,positive,lecturer,test,UIT-VSFC,cách dạy tốt
thầy kể chuyện hay .,positive,lecturer,test,UIT-VSFC,thầy kể chuyện
"cô giảng dạy hay , nhiệt tình , lôi cuốn .",positive,lecturer,test,UIT-VSFC,cô giảng_dạy nhiệt_tình lôi_cuốn
có thể nhiều bạn thích nhưng bản thân mình thấy thầy nói một vấn đề hơi dài dòng .,neutral,lecturer,test,UIT-VSFC,thể nhiều thích bản_thân mình thấy thầy nói vấn_đề hơi dài dòng
"thầy vui vẻ , nhiệt tình , khả năng sư phạm tốt .",positive,lecturer,test,UIT-VSFC,thầy vui_vẻ nhiệt_tình khả_năng sư_phạm tốt
cô dạy tốt .,positive,lecturer,test,UIT-VSFC,cô dạy tốt
không có !,neutral,others,test,UIT-VSFC,không
giảng dạy chán cách truyền đạt kiến thức không phù hợp cho lắm .,negative,lecturer,test,UIT-VSFC,giảng_dạy chán cách truyền_đạt kiến_thức không phù_hợp lắm
"mong rằng ở các khóa học sau , trường sẽ cung cấp giáo trình cho sinh viên chúng em để chúng em được thuận tiện hơn trong học tập .",negative,training_program,test,UIT-VSFC,mong rằng khóa học trường cung_cấp giáo_trình sinh_viên chúng chúng thuận_tiện hơn học_tập
"nếu xét về mặt ý nghĩa thì đúng , nhưng heapsort là một phương pháp khó và hoàn toàn mới , trong khi tất cả các lớp khác giảng viên hướng dẫn nhiệt tình mà còn có nhiều sinh viên không hiểu , ở đây thầy lạ khẳng định không thi mà nói câu đó nữa thì sinh viên sau phục được !",negative,lecturer,test,UIT-VSFC,xét mặt ý_nghĩa đúng heapsort phương_pháp khó hoàn_toàn mới tất_cả lớp khác giảng_viên hướng_dẫn nhiệt_tình còn nhiều sinh_viên không hiểu thầy lạ khẳng_định không thi nói câu nữa sinh_viên phục
"thầy tận tâm , truyền đạt tốt kiến thức .",positive,lecturer,test,UIT-VSFC,thầy tận_tâm truyền_đạt tốt kiến_thức
dạy quá giờ .,negative,lecturer,test,UIT-VSFC,dạy quá giờ
"cách dạy còn hơi gây áp lực cho sinh viên khi học , ít bài tập quá !",negative,lecturer,test,UIT-VSFC,cách dạy còn hơi gây áp_lực sinh_viên học ít bài_tập quá
tiếp thu bài cũng ổn .,neutral,others,test,UIT-VSFC,tiếp_thu bài ổn
nhiệt tình và vui vẻ .,positive,lecturer,test,UIT-VSFC,nhiệt_tình vui_vẻ
"bài tập thầy cho ít , giải cũng ít , không có bài tập về nhà .",negative,lecturer,test,UIT-VSFC,bài_tập thầy ít giải ít không bài_tập nhà
"thay vì giờ thực hành hình thức 1 lại seminar lại học lý thuyết , không gây một chút hứng thú nào cho sinh viên , vì sinh viên đã quá nhàm chán với lý thuyết trong một học kỳ .",negative,training_program,test,UIT-VSFC,thay giờ thực_hành hình_thức 1 seminar học lý_thuyết không gây chút hứng_thú nào sinh_viên sinh_viên quá nhàm chán lý_thuyết học_kỳ
"giáo viên nhiệt tình , quá trình dạy có liên hệ thực tế !",positive,lecturer,test,UIT-VSFC,giáo_viên nhiệt_tình quá_trình dạy liên_hệ thực_tế
thầy chưa hướng dẫn cụ thể bài tập thực hành .,negative,lecturer,test,UIT-VSFC,thầy chưa hướng_dẫn cụ_thể bài_tập thực_hành
cần hướng dẫn sinh viên nhiều hơn .,negative,lecturer,test,UIT-VSFC,cần hướng_dẫn sinh_viên nhiều hơn
"thầy có cách tiếp cận với sinh viên , thầy dạy và làm rõ những vấn đề sinh viên đang thắc mắc , làm sinh viên có cảm giác thích học thầy .",positive,lecturer,test,UIT-VSFC,thầy cách tiếp_cận sinh_viên thầy dạy làm rõ vấn_đề sinh_viên thắc_mắc làm sinh_viên cảm_giác thích học thầy
"giáo viên giảng dạy xúc tích , dễ hiểu .",positive,lecturer,test,UIT-VSFC,giáo_viên giảng_dạy xúc_tích dễ hiểu
hoàn toàn bình thường .,neutral,others,test,UIT-VSFC,hoàn_toàn bình_thường
he fixes our tasks thoroughly .,positive,lecturer,test,UIT-VSFC,he fixes our tasks thoroughly
"thầy quan tâm đến sinh viên , rất công bằng , giảng chi tiết .",positive,lecturer,test,UIT-VSFC,thầy quan_tâm sinh_viên công_bằng giảng chi_tiết
"cô dạy nhiệt tình , vui tính .",positive,lecturer,test,UIT-VSFC,cô dạy nhiệt_tình vui_tính
được biết thêm nhiều kiến thức khác ở bên ngoài giúp mở rộng tầm mắt .,positive,others,test,UIT-VSFC,biết thêm nhiều kiến_thức khác bên ngoài giúp mở_rộng tầm_mắt
cập nhật giáo trình .,negative,training_program,test,UIT-VSFC,cập_nhật_giáo trình
"thầy giảng dạy tốt , vui tính , điểm danh đều đặn .",positive,lecturer,test,UIT-VSFC,thầy giảng_dạy tốt vui tính điểm danh_đặn
thầy nhiệt tình hướng dẫn sinh viên .,positive,lecturer,test,UIT-VSFC,thầy nhiệt_tình hướng_dẫn sinh_viên
"giảng viên vui vẻ , nhiệt tình , gần gũi với sinh viên .",positive,lecturer,test,UIT-VSFC,giảng_viên vui_vẻ nhiệt_tình gần_gũi sinh_viên
"thầy rất nhiệt tình , quan tâm sinh viên , truyền đạt tốt !",positive,lecturer,test,UIT-VSFC,thầy nhiệt_tình quan_tâm sinh_viên truyền_đạt tốt
"thầy giảng dạy nhiệt tình , truyền đạt kỹ nội dung bài học .",positive,lecturer,test,UIT-VSFC,thầy giảng_dạy nhiệt_tình truyền_đạt kỹ nội_dung bài_học
"giảng viên tận tình , có khả năng truyền đạt tốt .",positive,lecturer,test,UIT-VSFC,giảng_viên tận_tình khả_năng truyền_đạt tốt
"thầy nên cập nhật một số slide giảng dạy ( về virus và mã độc ) , thêm vào các loại công cụ hiện thời .",negative,lecturer,test,UIT-VSFC,thầy cập_nhật số slide giảng_dạy virus mã độc thêm loại công_cụ hiện_thời
giảng dạy cặn kẽ dễ hiểu .,positive,lecturer,test,UIT-VSFC,giảng_dạy cặn_kẽ dễ hiểu
cần thêm tiết cho môn học .,negative,training_program,test,UIT-VSFC,cần thêm tiết môn_học
thầy cần sử dụng micro khi giảng bài vì lớp khá đông !,negative,lecturer,test,UIT-VSFC,thầy cần sử_dụng micro giảng bài lớp khá đông
lớp quá đông nên khó tiếp thu .,negative,others,test,UIT-VSFC,lớp quá đông khó tiếp_thu
"cung cấp thêm các giáo trình tiếng việt và các bài tập , ví dụ thực tiễn .",negative,training_program,test,UIT-VSFC,cung_cấp thêm giáo_trình tiếng việt bài_tập ví_dụ thực_tiễn
bài tập nhiều và giảng dạy nhiệt tình .,positive,training_program,test,UIT-VSFC,bài_tập nhiều giảng_dạy nhiệt_tình
đề cương môn học nên rõ ràng hơn .,negative,training_program,test,UIT-VSFC,đề_cương môn_học rõ_ràng hơn
lên lớp đều .,neutral,lecturer,test,UIT-VSFC,lên lớp
phòng lab trang bị máy cấu hình không đủ để chạy máy ảo .,negative,facility,test,UIT-VSFC,phòng lab_trang máy cấu_hình không đủ chạy máy ảo
một số lúc .,neutral,others,test,UIT-VSFC,số lúc
cần cung cấp thêm giáo trình .,negative,training_program,test,UIT-VSFC,cần cung_cấp thêm giáo_trình
"thầy rất chịu khó chép bảng , giúp đỡ nhiệt tình .",positive,lecturer,test,UIT-VSFC,thầy chịu_khó chép bảng giúp_đỡ nhiệt_tình
cộng thêm lớp lý thuyết và thực hành đồng bộ hơn .,negative,training_program,test,UIT-VSFC,cộng thêm lớp lý_thuyết thực_hành đồng_bộ hơn
giảng viên còn đến lớp trễ .,negative,lecturer,test,UIT-VSFC,giảng_viên còn lớp trễ
"cô dạy rất nhiệt huyết , luôn vì sinh viên .",positive,lecturer,test,UIT-VSFC,cô dạy nhiệt_huyết luôn sinh_viên
thiếu điều kiện thực hành trên các thiết bị thật .,negative,facility,test,UIT-VSFC,thiếu điều_kiện thực_hành_thiết thật
"tiết học còn nhàm chán , chưa tạo được hứng thú .",negative,lecturer,test,UIT-VSFC,tiết học còn nhàm_chán chưa tạo hứng_thú
"phương pháp dạy hay , dễ hiểu .",positive,lecturer,test,UIT-VSFC,phương_pháp dạy dễ hiểu
cô dạy vui vẻ nhiệt tình .,positive,lecturer,test,UIT-VSFC,cô dạy vui_vẻ nhiệt_tình
"cô dạy hay , vui .",positive,lecturer,test,UIT-VSFC,cô dạy vui
cô dạy cũng ok .,positive,lecturer,test,UIT-VSFC,cô dạy ok
"nội dung học thiên về thực hành , ứng dụng vào sản phẩm mà hình thức thi lại lài viết rất khó đánh giá chính xác .",negative,training_program,test,UIT-VSFC,nội_dung học thiên_thực_hành ứng_dụng sản_phẩm hình_thức thi_lài viết khó đánh_giá chính_xác
"lớp học của thầy luôn thoải mái và vui vẻ , không hề gò ép , cứng nhắc như các môn khác .",positive,lecturer,test,UIT-VSFC,lớp_học thầy luôn thoải_mái vui_vẻ không hề gò ép cứng_nhắc môn khác
luyện kỹ năng nghe và đọc nhiều hơn .,negative,training_program,test,UIT-VSFC,luyện kỹ_năng nghe đọc nhiều hơn
trang thiết bị thực hành nên được đầu tư hơn .,negative,facility,test,UIT-VSFC,trang_thiết_thực_hành đầu_tư hơn
thầy dạy rất chi tiết và dễ hiểu .,positive,lecturer,test,UIT-VSFC,thầy dạy chi_tiết dễ hiểu
thầy giảng dạy nhiệt tình truyền đạt nhiều kinh nghiệm cho sinh viên và phương pháp giảng dạy hiệu quả .,positive,lecturer,test,UIT-VSFC,thầy giảng_dạy nhiệt_tình truyền_đạt nhiều kinh_nghiệm sinh_viên phương_pháp giảng_dạy hiệu_quả
hay bị trục trặc khi sử dụng .,negative,facility,test,UIT-VSFC,trục_trặc sử_dụng
mong thầy fraction cô dạy bài tập rồi đưa lý thuyết nhẹ vào !,negative,lecturer,test,UIT-VSFC,mong thầy fraction cô dạy bài_tập rồi đưa lý_thuyết nhẹ
"giảng viên nhiệt tình , không lạm dụng slide , thầy cho sinh viên tự thảo luận , làm bài rồi mới sửa .",positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình không lạm_dụng slide thầy sinh_viên tự thảo_luận làm bài rồi mới sửa
"thầy giảng dạy nhiệt tình , hướng dẫn cụ thể cho sinh viên .",positive,lecturer,test,UIT-VSFC,thầy giảng_dạy nhiệt_tình hướng_dẫn cụ_thể sinh_viên
"trang bị máy tốt hơn , máy chạy chậm ảnh hưởng việc học .",negative,facility,test,UIT-VSFC,trang máy tốt hơn máy chạy chậm ảnh_hưởng học
hay và bổ ích .,positive,others,test,UIT-VSFC,bổ_ích
cần tăng thêm thời gian cho môn học .,negative,training_program,test,UIT-VSFC,cần tăng thêm thời_gian môn_học
bài giảng chưa sâu .,negative,lecturer,test,UIT-VSFC,bài giảng chưa sâu
"giọng thầy hơi khó nghe , dễ gây buồn ngủ .",negative,lecturer,test,UIT-VSFC,giọng thầy hơi khó nghe dễ gây buồn_ngủ
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay .",positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình phương_pháp giảng_dạy
giờ lên lớp không chắc chắn .,negative,lecturer,test,UIT-VSFC,giờ lên_lớp không chắc_chắn
"cô dạy rất hay , giọng nói truyền cảm , dạy sâu vào các vấn đề .",positive,lecturer,test,UIT-VSFC,cô dạy giọng nói truyền_cảm dạy sâu vấn_đề
